place_name,place_type,year,quarter,value
ג'סר א זרקא,מועצה מקומית,2014,4,93.0
ג'סר א זרקא,מועצה מקומית,2015,1,162.0
ג'סר א זרקא,מועצה מקומית,2015,2,128.0
ג'סר א זרקא,מועצה מקומית,2015,3,131.0
ג'סר א זרקא,מועצה מקומית,2015,4,155.0
ג'סר א זרקא,מועצה מקומית,2016,1,188.0
ג'סר א זרקא,מועצה מקומית,2016,2,75.0
ג'סר א זרקא,מועצה מקומית,2016,3,65.0
ג'סר א זרקא,מועצה מקומית,2016,4,69.0
ג'סר א זרקא,מועצה מקומית,2017,1,41.0
ג'סר א זרקא,מועצה מקומית,2017,2,30.0
ג'ת,מועצה מקומית,2012,1,162.0
ג'ת,מועצה מקומית,2012,2,28.0
ג'ת,מועצה מקומית,2012,3,34.0
ג'ת,מועצה מקומית,2012,4,45.0
ג'ת,מועצה מקומית,2013,1,174.0
ג'ת,מועצה מקומית,2013,2,90.0
ג'ת,מועצה מקומית,2013,3,63.0
ג'ת,מועצה מקומית,2013,4,94.0
ג'ת,מועצה מקומית,2014,1,78.0
ג'ת,מועצה מקומית,2014,2,132.0
ג'ת,מועצה מקומית,2014,3,135.0
ג'ת,מועצה מקומית,2014,4,343.0
ג'ת,מועצה מקומית,2015,1,345.0
ג'ת,מועצה מקומית,2015,2,237.0
ג'ת,מועצה מקומית,2015,3,193.0
ג'ת,מועצה מקומית,2015,4,179.0
ג'ת,מועצה מקומית,2016,1,279.0
ג'ת,מועצה מקומית,2016,2,146.0
ג'ת,מועצה מקומית,2016,3,92.0
ג'ת,מועצה מקומית,2016,4,50.0
ג'ת,מועצה מקומית,2017,1,60.0
ג'ת,מועצה מקומית,2017,2,14.0
גבעת שמואל,עירייה,2012,1,208.0
גבעת שמואל,עירייה,2012,2,282.0
גבעת שמואל,עירייה,2012,3,217.0
גבעת שמואל,עירייה,2012,4,405.0
גבעת שמואל,עירייה,2013,1,322.0
גבעת שמואל,עירייה,2013,2,200.0
גבעת שמואל,עירייה,2013,3,142.0
גבעת שמואל,עירייה,2013,4,94.0
גבעת שמואל,עירייה,2014,1,129.0
גבעת שמואל,עירייה,2014,2,98.0
גבעת שמואל,עירייה,2014,3,125.0
גבעת שמואל,עירייה,2014,4,157.0
גבעת שמואל,עירייה,2015,1,153.0
גבעת שמואל,עירייה,2015,2,234.0
גבעת שמואל,עירייה,2015,3,176.0
גבעת שמואל,עירייה,2015,4,88.0
גבעת שמואל,עירייה,2016,1,121.0
גבעת שמואל,עירייה,2016,2,145.0
גבעת שמואל,עירייה,2016,3,114.0
גבעת שמואל,עירייה,2016,4,77.0
גבעת שמואל,עירייה,2017,1,89.0
גבעת שמואל,עירייה,2017,2,53.0
גבעתיים,עירייה,2012,1,659.0
גבעתיים,עירייה,2012,2,653.0
גבעתיים,עירייה,2012,3,1036.0
גבעתיים,עירייה,2012,4,1022.0
גבעתיים,עירייה,2013,1,922.0
גבעתיים,עירייה,2013,2,987.0
גבעתיים,עירייה,2013,3,901.0
גבעתיים,עירייה,2013,4,997.0
גבעתיים,עירייה,2014,1,1237.0
גבעתיים,עירייה,2014,2,957.0
גבעתיים,עירייה,2014,3,884.0
גבעתיים,עירייה,2014,4,878.0
גבעתיים,עירייה,2015,1,1052.0
גבעתיים,עירייה,2015,2,916.0
גבעתיים,עירייה,2015,3,857.0
גבעתיים,עירייה,2015,4,780.0
גבעתיים,עירייה,2016,1,1085.0
